iteration, (col, row), utility

4, 7|3, 26.712287
4, 0|4, 27.515241
4, 1|4, 27.165325
4, 2|4, 27.354381
4, 3|4, 27.115928
4, 4|4, 26.845128
4, 5|4, 26.897182
4, 6|4, 26.525279
4, 7|4, 26.291951
4, 0|5, 26.953618
4, 1|5, 26.746792
4, 2|5, 26.856895
4, 3|5, 26.656283
4, 4|5, 26.421254
4, 5|5, 26.408395
4, 6|5, 26.091564
4, 7|5, 25.875402
4, 0|6, 26.413932
4, 1|6, 26.314824
4, 2|6, 26.375828
4, 3|6, 26.202965
4, 4|6, 25.994576
4, 5|6, 25.936972
4, 6|6, 25.661045
4, 7|6, 25.462528
4, 0|7, 25.892662
4, 1|7, 25.875116
4, 2|7, 25.905693
4, 3|7, 25.736647
4, 4|7, 25.376123
4, 5|7, 25.053469
4, 6|7, 24.740107
4, 7|7, 24.443394
5, 0|0, 36.133357
5, 1|0, 35.422733
5, 2|0, 35.932544
5, 3|0, 35.214903
5, 4|0, 33.533069
5, 5|0, 34.701886
5, 6|0, 34.022176
5, 7|0, 33.367347
5, 0|1, 35.422733
5, 1|1, 34.850169
5, 2|1, 35.235917
5, 3|1, 34.578624
5, 4|1, 33.255572
5, 5|1, 33.997997
5, 6|1, 33.464049
5, 7|1, 32.930861
5, 0|2, 34.725504
5, 1|2, 34.177163
5, 2|2, 34.558611
5, 3|2, 33.973970
5, 4|2, 32.912740
5, 5|2, 33.354215
5, 6|2, 32.929561
5, 7|2, 32.465235
5, 0|3, 34.042142
5, 1|3, 33.523536
5, 2|3, 33.900686
5, 3|3, 33.391885
5, 4|3, 32.524701
5, 5|3, 32.754145
5, 6|3, 32.401118
5, 7|3, 31.998423
5, 0|4, 33.391300
5, 1|4, 33.056462
5, 2|4, 33.278343
5, 3|4, 32.828201
5, 4|4, 32.105866
5, 5|4, 32.186424
5, 6|4, 31.880649
5, 7|4, 31.531443
5, 0|5, 32.766548
5, 1|5, 32.566518
5, 2|5, 32.683386
5, 3|5, 32.279816
5, 4|5, 31.666568
5, 5|5, 31.643158
5, 6|5, 31.368995
5, 7|5, 31.065281
5, 0|6, 32.163217
5, 1|6, 32.062687
5, 2|6, 32.109992
5, 3|6, 31.744413
5, 4|6, 31.214221
5, 5|6, 31.118853
5, 6|6, 30.866364
5, 7|6, 30.600826
5, 0|7, 31.577895
5, 1|7, 31.551341
5, 2|7, 31.554018
5, 3|7, 31.220271
5, 4|7, 30.754145
5, 5|7, 30.609670
5, 6|7, 30.372618
5, 7|7, 30.138843
6, 0|0, 41.550760
6, 1|0, 40.793890
6, 2|0, 41.357522
6, 3|0, 40.592890
6, 4|0, 39.852985
6, 5|0, 40.398971
6, 6|0, 39.643154
6, 7|0, 38.913448
6, 0|1, 40.793890
6, 1|1, 40.277936
6, 2|1, 40.611767
6, 3|1, 39.985201
6, 4|1, 39.357451
6, 5|1, 39.666333
6, 6|1, 39.038955
6, 7|1, 38.434306
6, 0|2, 40.069282
6, 1|2, 39.727656
6, 2|2, 39.899543
6, 3|2, 39.301354
6, 4|2, 38.707525
6, 5|2, 38.962939
6, 6|2, 38.439205
6, 7|2, 37.908473
6, 0|3, 39.370670
6, 1|3, 39.155906
6, 2|3, 39.219254
6, 3|3, 38.693844
6, 4|3, 38.103496
6, 5|3, 38.287867
6, 6|3, 37.845683
6, 7|3, 37.381568
6, 0|4, 38.693533
6, 1|4, 38.571670
6, 2|4, 38.563304
6, 3|4, 38.089218
6, 4|4, 37.506848
6, 5|4, 37.636676
6, 6|4, 37.259451
6, 7|4, 36.854526
6, 0|5, 38.034584
6, 1|5, 37.981224
6, 2|5, 37.926480
6, 3|5, 37.489323
6, 4|5, 36.915827
6, 5|5, 37.005728
6, 6|5, 36.681074
6, 7|5, 36.328233
6, 0|6, 37.391414
6, 1|6, 37.388957
6, 2|6, 37.305255
6, 3|6, 36.895870
6, 4|6, 36.336533
6, 5|6, 36.392776
6, 6|6, 36.110860
6, 7|6, 35.803500
6, 0|7, 36.762245
6, 1|7, 36.797979
6, 2|7, 36.697741
6, 3|7, 36.314942
6, 4|7, 35.819088
6, 5|7, 35.801062
6, 6|7, 35.549445
6, 7|7, 35.281106
